date,city,emd,code,money,market,readPop,workPop,visitPop
20170100,제주시,용담이동,I56112,17464500,234,13256,2675,14187
20170100,제주시,용담이동,I56111,557971244,6259,13256,2675,14187
20170100,제주시,용담이동,G47215,57211860,392,13256,2675,14187
20170100,제주시,용담이동,G47214,101397770,888,13256,2675,14187
20170100,제주시,용담이동,G47213,71361100,563,13256,2675,14187
20170100,제주시,용담이동,G47711,514786984,214,13256,2675,14187
20170100,제주시,용담이동,L69210,4111000,597,13256,2675,14187
20170100,제주시,용담이동,G47190,180000,109,13256,2675,14187
20170100,제주시,용담이동,I56220,120248850,397,13256,2675,14187
20170100,제주시,용담이동,S96121,203900,59,13256,2675,14187
20170100,제주시,용담이동,L69110,464513383,135,13256,2675,14187
20170100,제주시,용담이동,G47216,955000,233,13256,2675,14187
20170100,제주시,용담이동,N75211,11960840,621,13256,2675,14187
20170100,제주시,용담이동,I56114,11328110,905,13256,2675,14187
20170100,제주시,용담이동,I56113,28090700,293,13256,2675,14187
20170100,제주시,용담이동,I56192,113554750,231,13256,2675,14187
20170100,제주시,용담이동,I56119,20500,148,13256,2675,14187
20170100,제주시,용담이동,G47122,155875190,738,13256,2675,14187
20170100,제주시,용담이동,G47121,252918312,490,13256,2675,14187
20170100,제주시,용담이동,G47212,36299290,342,13256,2675,14187
20170100,제주시,용담이동,G47130,7208239258,13,13256,2675,14187
20170100,제주시,건입동,I55112,47605123,1610,8959,1223,8904
20170100,제주시,건입동,I56111,356271534,6259,8959,1223,8904
20170100,제주시,건입동,G47842,1853600,198,8959,1223,8904
20170100,제주시,건입동,G47813,2783500,1091,8959,1223,8904
20170100,제주시,건입동,I55111,3340000,71,8959,1223,8904
20170100,제주시,건입동,I56112,4961000,234,8959,1223,8904
20170100,제주시,건입동,I56113,70481112,293,8959,1223,8904
20170100,제주시,건입동,G47215,3856600,392,8959,1223,8904
20170100,제주시,건입동,G47214,9417500,888,8959,1223,8904
20170100,제주시,건입동,G47712,59316769,90,8959,1223,8904
20170100,제주시,건입동,G47711,277979640,214,8959,1223,8904
20170100,제주시,건입동,L69210,31472300,597,8959,1223,8904
20170100,제주시,건입동,I56220,3729400,397,8959,1223,8904
20170100,제주시,건입동,L69110,4488200,135,8959,1223,8904
20170100,제주시,건입동,G47216,41600,233,8959,1223,8904
20170100,제주시,건입동,I56119,4700400,148,8959,1223,8904
20170100,제주시,건입동,I56114,48314100,905,8959,1223,8904
20170100,제주시,건입동,I56211,23020500,632,8959,1223,8904
20170100,제주시,건입동,I56219,13495000,509,8959,1223,8904
20170100,제주시,건입동,I56192,15843520,231,8959,1223,8904
20170100,제주시,건입동,G47122,74163820,738,8959,1223,8904
20170100,제주시,건입동,G47121,292903580,490,8959,1223,8904
20170100,제주시,건입동,G47212,20294900,342,8959,1223,8904
20170100,제주시,건입동,G47213,108930500,563,8959,1223,8904
20170100,제주시,건입동,G47129,16524400,103,8959,1223,8904
20170100,제주시,건입동,G47130,151128300,13,8959,1223,8904
20170100,제주시,화북동,G47813,27883060,1091,30987,2106,11322
20170100,제주시,화북동,G47842,770000,198,30987,2106,11322
20170100,제주시,화북동,I56112,11575000,234,30987,2106,11322
20170100,제주시,화북동,I56111,476230748,6259,30987,2106,11322
20170100,제주시,화북동,G47214,60543317,888,30987,2106,11322
20170100,제주시,화북동,G47215,54386439,392,30987,2106,11322
20170100,제주시,화북동,G47213,8990000,563,30987,2106,11322
20170100,제주시,화북동,G47711,525732357,214,30987,2106,11322
20170100,제주시,화북동,G47712,65880254,90,30987,2106,11322
20170100,제주시,화북동,L69210,12256000,597,30987,2106,11322
20170100,제주시,화북동,G47190,800000,109,30987,2106,11322
20170100,제주시,화북동,G47119,283677870,15,30987,2106,11322
20170100,제주시,화북동,I56220,3549000,397,30987,2106,11322
20170100,제주시,화북동,S96121,22643500,59,30987,2106,11322
20170100,제주시,화북동,G47216,11103370,233,30987,2106,11322
20170100,제주시,화북동,N75992,397900,180,30987,2106,11322
20170100,제주시,화북동,I56114,8992200,905,30987,2106,11322
20170100,제주시,화북동,I56113,9274000,293,30987,2106,11322
20170100,제주시,화북동,I56192,42067730,231,30987,2106,11322
20170100,제주시,화북동,I56219,15295000,509,30987,2106,11322
20170100,제주시,화북동,I56119,36669748,148,30987,2106,11322
20170100,제주시,화북동,G47122,104514490,738,30987,2106,11322
20170100,제주시,화북동,G47121,168043075,490,30987,2106,11322
